date,main
20170619,rb1710.SHF
20170620,rb1710.SHF
20170621,rb1710.SHF
20170622,rb1710.SHF
20170623,rb1710.SHF
20170626,rb1710.SHF
20170627,rb1710.SHF
20170628,rb1710.SHF
20170629,rb1710.SHF
20170630,rb1710.SHF
20170703,rb1710.SHF
20170704,rb1710.SHF
20170705,rb1710.SHF
20170706,rb1710.SHF
20170707,rb1710.SHF
20170710,rb1710.SHF
20170711,rb1710.SHF
20170712,rb1710.SHF
20170713,rb1710.SHF
20170714,rb1710.SHF
20170717,rb1710.SHF
20170718,rb1710.SHF
20170719,rb1710.SHF
20170720,rb1710.SHF
20170721,rb1710.SHF
20170724,rb1710.SHF
20170725,rb1710.SHF
20170726,rb1710.SHF
20170727,rb1710.SHF
20170728,rb1710.SHF
20170731,rb1710.SHF
20170801,rb1710.SHF
20170802,rb1710.SHF
20170803,rb1710.SHF
20170804,rb1710.SHF
20170807,rb1801.SHF
20170808,rb1801.SHF
20170809,rb1801.SHF
20170810,rb1801.SHF
20170811,rb1801.SHF
20170814,rb1801.SHF
20170816,rb1801.SHF
20170817,rb1801.SHF
20170818,rb1801.SHF
20170821,rb1801.SHF
20170822,rb1801.SHF
20170823,rb1801.SHF
20170824,rb1801.SHF
20170825,rb1801.SHF
20170828,rb1801.SHF
20170829,rb1801.SHF
20170830,rb1801.SHF
20170831,rb1801.SHF
20170901,rb1801.SHF
20170904,rb1801.SHF
20170905,rb1801.SHF
20170906,rb1801.SHF
20170907,rb1801.SHF
20170908,rb1801.SHF
20170911,rb1801.SHF
20170912,rb1801.SHF
20170913,rb1801.SHF
20170914,rb1801.SHF
20170915,rb1801.SHF
20170918,rb1801.SHF
20170919,rb1801.SHF
20170920,rb1801.SHF
20170921,rb1801.SHF
20170922,rb1801.SHF
20170925,rb1801.SHF
20170926,rb1801.SHF
20170927,rb1801.SHF
20170928,rb1801.SHF
20170929,rb1801.SHF
