Code,PriceTick,VolumeMultiple,PriceLimit
CF.CZC,5,5,0.05
CY.CZC,5,5,0.04
FG.CZC,1,20,0.05
IC.CFE,0.2,200,0.1
IF.CFE,0.2,300,0.1
IH.CFE,0.2,300,0.1
JR.CZC,1,20,0.04
LR.CZC,1,20,0.04
MA.CZC,1,10,0.05
OI.CZC,2,10,0.05
PM.CZC,1,50,0.04
RI.CZC,1,20,0.04
RM.CZC,1,10,0.05
RS.CZC,1,10,0.1
SF.CZC,2,5,0.06
SM.CZC,2,5,0.06
SR.CZC,1,10,0.04
T.CFE,0.005,10000,0.02
TA.CZC,2,5,0.05
TF.CFE,0.005,10000,0.012
WH.CZC,1,20,0.07
ZC.CZC,0.2,100,0.06
a.DCE,1,10,0.05
ag.SHF,1,15,0.03
al.SHF,5,5,0.03
au.SHF,0.05,1000,0.03
b.DCE,1,10,0.04
bb.DCE,0.05,500,0.05
bu.SHF,2,10,0.07
c.DCE,1,10,0.05
cs.DCE,1,10,0.05
cu.SHF,10,5,0.03
fb.DCE,0.05,500,0.05
fu.SHF,1,50,0.05
hc.SHF,1,10,0.07
i.DCE,0.5,100,0.08
j.DCE,0.5,100,0.09
jd.DCE,1,10,0.04
jm.DCE,0.5,60,0.09
l.DCE,5,5,0.05
m.DCE,1,10,0.05
ni.SHF,10,1,0.07
p.DCE,2,10,0.04
pb.SHF,5,5,0.04
pp.DCE,1,5,0.05
rb.SHF,1,10,0.07
ru.SHF,5,10,0.07
sn.SHF,10,1,0.07
v.DCE,5,5,0.05
wr.SHF,1,10,0.05
y.DCE,2,10,0.04
zn.SHF,5,5,0.07
